"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtsMade","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2019-02-21","GSW","SAC","36:14",85,36,2,7,0.2857142857142857,10,16,0.625,0.625,2,2,2,18,12,0.5,0.5,0.6,0.6956521739130435,0.5111195652173913,0.7391304347826086,0.75,0,1,0.14285714285714285,0,0,29.347826086956523
"2019-02-06","GSW","SAS","28:36",67,19,4,7,0.5714285714285714,3,5,0.6,0.6,2,6,2,9,0,0.75,0.75,1,0.4166666666666667,0.5379083333333333,0.7083333333333334,0.7307692307692307,0,0,0,1,0.2,21.91780821917808
"2019-02-08","GSW","PHX","35:33",74,20,3,6,0.5,3,11,0.2727272727272727,0.2727272727272727,5,2,4,6,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6470588235294118,0.5194911764705883,0.4411764705882353,0.5,0,0,0,0,0,26.82926829268293
"2019-02-10","GSW","MIA","36:26",73,25,4,8,0.5,5,10,0.5,0.5,2,2,6,9,6,0.25,0.25,0.6,0.5555555555555556,0.47622222222222216,0.6388888888888888,0.6578947368421053,0,1,0.125,0,0,26.25
"2019-02-12","GSW","UTA","36:10",74,24,3,5,0.6,5,14,0.35714285714285715,0.35714285714285715,3,4,2,12,3,0.6666666666666666,0.6666666666666666,0.8,0.7368421052631579,0.5164552631578947,0.5526315789473685,0.5714285714285714,0,1,0.2,0,0,28.205128205128204
"2019-02-13","GSW","POR","32:37",65,32,5,10,0.5,5,14,0.35714285714285715,0.35714285714285715,7,6,4,9,6,0.6,0.6,0.6,0.5833333333333334,0.49600625,0.5208333333333334,0.5925925925925926,0,0,0,0,0,35.8974358974359
"2019-02-23","GSW","HOU","35:42",80,25,4,7,0.5714285714285714,5,11,0.45454545454545453,0.45454545454545453,2,4,4,12,3,0.5,0.5,0.8,0.6111111111111112,0.5122388888888889,0.6388888888888888,0.6578947368421053,0,1,0.14285714285714285,1,0.09090909090909091,26.190476190476186
"2019-02-25","GSW","CHA","35:03",76,16,1,4,0.25,4,14,0.2857142857142857,0.2857142857142857,2,2,0,12,0,1,1,1,0.7777777777777778,0.5221305555555555,0.3888888888888889,0.4,0,1,0.25,0,0,27.058823529411764
"2019-02-27","GSW","MIA","34:23",71,24,5,6,0.8333333333333334,4,14,0.2857142857142857,0.2857142857142857,2,2,8,3,9,0.2,0.25,0.25,0.7,0.5529725,0.55,0.5714285714285714,2,1,0.16666666666666666,0,0,30.769230769230766
"2019-02-28","GSW","ORL","37:23",81,33,7,16,0.4375,5,17,0.29411764705882354,0.29411764705882354,4,0,14,3,12,0,0,0.2,0.5151515151515151,0.47800909090909094,0.4393939393939394,0.4714285714285714,0,3,0.1875,1,0.058823529411764705,41.11111111111111
"2019-03-02","GSW","PHI","35:56",81,28,5,8,0.625,5,15,0.3333333333333333,0.3333333333333333,3,6,4,15,0,0.6,0.75,1,0.6521739130434783,0.49908043478260866,0.5434782608695652,0.5833333333333334,2,0,0,0,0,30.23255813953488
"2019-03-05","GSW","BOS","30:51",71,23,4,6,0.6666666666666666,4,10,0.4,0.4444444444444444,3,4,4,12,0,0.5,0.5,1,0.625,0.5142266666666667,0.625,0.6764705882352942,0,0,0,0,0,27.272727272727273
"2019-03-08","GSW","DEN","34:22",75,17,2,6,0.3333333333333333,4,10,0.4,0.4,1,4,0,6,6,1,1,0.5,0.625,0.47550333333333333,0.5,0.5,0,0,0,0,0,30
"2019-03-10","GSW","PHX","34:56",78,18,2,5,0.4,4,15,0.26666666666666666,0.26666666666666666,2,2,2,12,0,0.5,0.5,1,0.75,0.5043525,0.4,0.42857142857142855,0,0,0,0,0,26.373626373626372
"2019-03-16","GSW","OKC","33:06",70,33,5,11,0.45454545454545453,5,12,0.4166666666666667,0.4166666666666667,8,4,6,9,6,0.4,0.4,0.6,0.5217391304347826,0.5649130434782609,0.5434782608695652,0.6111111111111112,0,1,0.09090909090909091,0,0,39.473684210526315
"2019-03-18","GSW","SAS","37:15",74,25,3,7,0.42857142857142855,6,18,0.3333333333333333,0.3125,1,0,6,6,12,0,0,0.3333333333333333,0.72,0.5339347826086956,0.48,0.5,0,2,0.2857142857142857,0,0,32.926829268292686
"2019-03-19","GSW","MIN","32:35",71,36,4,7,0.5714285714285714,8,14,0.5714285714285714,0.5714285714285714,4,6,2,18,6,0.75,0.75,0.75,0.6666666666666666,0.5530238095238096,0.7619047619047619,0.782608695652174,0,0,0,0,0,32.05128205128205
"2019-03-21","GSW","IND","29:28",63,15,0,3,0,5,12,0.4166666666666667,0.45454545454545453,0,0,0,6,9,0,0,0.4,0.8,0.5157928571428572,0.5,0.5,0,0,0,0,0,26.470588235294116
"2019-03-13","GSW","HOU","35:21",68,24,5,11,0.45454545454545453,3,9,0.3333333333333333,0.3333333333333333,5,6,4,9,0,0.6,0.75,1,0.45,0.4716325,0.475,0.5454545454545454,2,0,0,0,0,28.39506172839506
"2019-03-24","GSW","DET","35:26",67,26,4,9,0.4444444444444444,5,10,0.5,0.5,3,8,0,9,6,1,1,0.6,0.5263157894736842,0.4781289473684211,0.6052631578947368,0.65,0,0,0,0,0,32.432432432432435
"2019-03-27","GSW","MEM","33:23",72,28,1,8,0.125,6,12,0.5,0.5,8,2,0,15,3,1,1,0.8333333333333334,0.6,0.5371925,0.5,0.56,0,0,0,0,0,32.89473684210526
"2019-03-29","GSW","MIN","41:55",93,37,2,6,0.3333333333333333,11,19,0.5789473684210527,0.5789473684210527,0,2,2,18,15,0.5,0.5,0.5454545454545454,0.76,0.52369,0.74,0.74,0,1,0.16666666666666666,0,0,26.470588235294116
"2019-04-07","GSW","LAC","29:35",66,27,8,10,0.8,3,10,0.3,0.3,2,10,6,6,3,0.625,0.625,0.6666666666666666,0.5,0.49998250000000005,0.625,0.6428571428571429,0,0,0,1,0.1,28.37837837837838
