"Date","Team","Opponent","Minutes","Assists","AssistPoints","2ptAssists","3ptAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"2014-03-02","GSW","TOR","43:12",7,15,6,1,2,2,2,0,1
"2014-02-28","GSW","NYK","30:18",11,25,8,3,6,0,2,0,3
"2014-02-26","GSW","CHI","28:19",5,10,5,0,4,1,0,0,0
"2014-02-24","GSW","DET","35:44",9,22,5,4,3,1,1,2,2
"2014-02-22","GSW","BKN","31:58",8,16,8,0,5,1,2,0,0
"2014-02-20","GSW","HOU","38:27",6,13,5,1,2,2,1,1,0
"2014-02-19","GSW","SAC","35:51",8,18,6,2,3,1,2,0,2
"2014-02-12","GSW","MIA","39:13",7,15,6,1,4,2,0,1,0
"2014-02-10","GSW","PHI","27:18",8,18,6,2,2,2,2,1,1
"2014-02-08","GSW","PHX","41:10",9,21,6,3,4,1,1,0,3
"2014-02-06","GSW","CHI","42:46",9,19,8,1,2,1,5,0,1
"2014-02-04","GSW","CHA","38:13",11,24,9,2,6,2,1,1,1
"2014-01-31","GSW","UTA","38:07",4,8,4,0,3,1,0,0,0
"2014-01-30","GSW","LAC","33:41",7,15,6,1,5,1,0,0,1
"2014-01-28","GSW","WAS","37:43",4,9,3,1,2,0,1,0,1
"2014-01-26","GSW","POR","34:39",8,17,7,1,5,1,1,0,1
"2014-01-24","GSW","MIN","36:53",15,31,14,1,9,3,2,1,0
"2014-01-20","GSW","IND","41:28",9,22,5,4,3,2,0,0,4
"2014-01-18","GSW","NOP","37:49",8,18,6,2,5,0,1,1,1
"2014-01-17","GSW","OKC","37:57",11,28,5,6,5,0,0,1,5
"2014-01-15","GSW","DEN","39:41",7,15,6,1,2,4,0,0,1
"2014-01-10","GSW","BOS","40:08",4,9,3,1,1,1,1,1,0
"2014-01-08","GSW","BKN","45:28",7,15,6,1,3,2,1,0,1
"2014-01-07","GSW","MIL","36:14",6,14,4,2,0,3,1,2,0
"2014-01-05","GSW","WAS","37:38",10,23,7,3,5,0,2,0,3
"2014-01-03","GSW","ATL","34:39",9,21,6,3,4,1,1,1,2
"2014-01-02","GSW","MIA","43:44",12,26,10,2,7,1,2,2,0
"2013-12-31","GSW","ORL","29:35",8,16,8,0,4,3,1,0,0
"2013-12-29","GSW","CLE","48:12",11,22,11,0,10,1,0,0,0
"2013-12-27","GSW","PHX","33:34",16,35,13,3,8,1,4,1,2
"2013-12-25","GSW","LAC","42:29",11,25,8,3,5,2,1,0,3
"2013-12-23","GSW","DEN","35:14",7,15,6,1,3,1,2,1,0
"2013-12-21","GSW","LAL","32:46",10,23,7,3,5,1,1,0,3
"2013-12-19","GSW","SAS","40:23",15,30,15,0,11,1,3,0,0
"2013-12-17","GSW","NOP","32:40",11,24,9,2,6,1,2,0,2
"2013-12-15","GSW","PHX","42:21",7,18,3,4,1,1,1,2,2
"2013-12-13","GSW","HOU","39:08",9,19,8,1,5,2,1,1,0
"2013-12-11","GSW","DAL","43:56",10,23,7,3,5,1,1,2,1
"2013-12-09","GSW","CHA","45:40",9,21,6,3,6,0,0,0,3
"2013-12-07","GSW","MEM","45:21",15,33,12,3,4,3,5,1,2
"2013-12-06","GSW","HOU","32:28",5,11,4,1,3,0,1,1,0
"2013-12-03","GSW","TOR","43:25",10,25,5,5,4,1,0,1,4
"2013-12-01","GSW","SAC","40:10",10,26,4,6,3,0,1,3,3
"2013-11-29","GSW","OKC","44:43",5,11,4,1,3,0,1,0,1
"2013-11-27","GSW","DAL","42:24",8,17,7,1,5,1,1,0,1
"2013-11-26","GSW","NOP","42:05",9,21,6,3,3,2,1,2,1
"2013-11-23","GSW","POR","37:10",11,23,10,1,6,1,3,1,0
"2013-11-18","GSW","UTA","33:15",8,20,4,4,4,0,0,1,3
"2013-11-16","GSW","UTA","38:30",11,27,6,5,4,1,1,3,2
"2013-11-14","GSW","OKC","43:06",9,20,7,2,6,1,0,0,2
"2013-11-12","GSW","DET","29:00",8,18,6,2,5,0,1,1,1
"2013-11-09","GSW","MEM","34:22",5,12,3,2,2,0,1,1,1
"2013-11-06","GSW","MIN","24:11",7,14,7,0,5,0,2,0,0
"2013-11-04","GSW","PHI","29:13",12,29,7,5,3,0,4,2,3
"2013-11-02","GSW","SAC","32:30",12,28,8,4,5,2,1,0,4
"2013-10-31","GSW","LAC","38:29",9,19,8,1,7,1,0,0,1
"2013-10-30","GSW","LAL","23:56",6,14,4,2,2,0,2,0,2
"2015-04-15","GSW","DEN","19:20",7,19,2,5,1,1,0,2,3
"2015-04-13","GSW","MEM","29:17",8,19,5,3,3,1,1,1,2
"2015-04-11","GSW","MIN","35:26",7,16,5,2,4,1,0,2,0
"2015-04-09","GSW","POR","35:13",10,22,8,2,4,4,0,0,2
