,date,home,vs,quarter,time_left,game_time,shot_made,cum_shot_made,cum_attempts,cum_fg_percent,shot_value,shot_distance
32,2009-11-08 00:00:00,False,SAC,2,1900-01-01 00:01:18,22.7,True,1.0,1,1.0,3,25
33,2009-11-08 00:00:00,False,SAC,2,1900-01-01 00:00:44,23.266666666666666,False,1.0,2,0.5,2,15
34,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:01:40,34.333333333333336,False,1.0,3,0.3333333333333333,3,25
35,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:00:47,35.21666666666667,False,1.0,4,0.25,2,13
36,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:00:12,35.8,True,2.0,5,0.4,2,18
37,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:05:38,42.36666666666667,False,2.0,6,0.3333333333333333,2,7
38,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:01:48,46.2,True,3.0,7,0.42857142857142855,2,19
39,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:01:20,46.666666666666664,True,4.0,8,0.5,2,18
40,2009-11-09 00:00:00,True,MIN,1,1900-01-01 00:09:34,2.4333333333333336,False,0.0,1,0.0,2,16
41,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:05:11,18.816666666666666,False,0.0,2,0.0,3,27
42,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:01:42,22.3,True,1.0,3,0.3333333333333333,2,16
43,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:00:35,23.416666666666668,False,1.0,4,0.25,2,1
44,2009-11-09 00:00:00,True,MIN,3,1900-01-01 00:03:09,32.85,False,1.0,5,0.2,2,3
45,2009-11-09 00:00:00,True,MIN,3,1900-01-01 00:03:09,32.85,True,2.0,6,0.3333333333333333,3,29
46,2009-11-09 00:00:00,True,MIN,4,1900-01-01 00:05:33,42.45,False,2.0,7,0.2857142857142857,2,18
47,2009-11-09 00:00:00,True,MIN,4,1900-01-01 00:05:33,42.45,False,2.0,8,0.25,2,17
64,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:11:32,0.4666666666666668,True,1.0,1,1.0,2,18
65,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:08:34,3.4333333333333336,False,1.0,2,0.5,3,25
66,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:06:10,5.833333333333333,True,2.0,3,0.6666666666666666,2,1
67,2009-11-17 00:00:00,False,CLE,2,1900-01-01 00:00:37,23.383333333333333,True,3.0,4,0.75,2,1
68,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:06:06,29.9,False,3.0,5,0.6,3,24
69,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:02:10,33.833333333333336,True,4.0,6,0.6666666666666666,2,1
70,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:01:19,34.68333333333333,True,5.0,7,0.7142857142857143,3,24
71,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:00:00,36.0,False,5.0,8,0.625,3,35
72,2009-11-17 00:00:00,False,CLE,4,1900-01-01 00:11:08,36.86666666666667,True,6.0,9,0.6666666666666666,3,25
73,2009-11-17 00:00:00,False,CLE,4,1900-01-01 00:09:26,38.56666666666666,False,6.0,10,0.6,3,25
