Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Acronym
Atlanta Hawks,80.4,42.3,38.1,3888.7,105.81000000000002,105.28,0.5500000000000002,63.03000000000001,1.64,18.119999999999997,27.1,70.59,49.04,15.290000000000001,51.2,54.8,95.42099999999999,50.589999999999996,ATL
Boston Celtics,80.3,45.6,34.7,3881.4,105.49000000000001,103.38,2.1,62.33,1.6789999999999998,18.020000000000003,26.939999999999998,70.78999999999999,49.239999999999995,14.85,50.71,54.589999999999996,95.152,51.82000000000001,BOS
Brooklyn Nets,80.4,30.0,50.4,3893.7,103.98999999999998,108.22,-4.26,57.879999999999995,1.439,16.369999999999997,28.370000000000005,70.34,49.17,15.469999999999999,49.410000000000004,53.470000000000006,94.964,46.959999999999994,BKN
Charlotte Hornets,80.4,34.1,46.3,3889.7,103.85999999999999,106.80999999999999,-2.9699999999999998,58.419999999999995,1.6299999999999997,16.439999999999998,27.720000000000006,72.32999999999998,49.760000000000005,13.95,48.33,52.71,94.19399999999999,48.39,CHA
Chicago Bulls,80.4,42.8,37.6,3895.2,104.5,104.13,0.4000000000000002,59.96999999999999,1.589,17.04,30.6,71.91,51.29,14.89,48.74,52.760000000000005,94.076,50.910000000000004,CHI
Cleveland Cavaliers,80.4,38.8,41.6,3883.2,107.07000000000001,108.42999999999999,-1.3699999999999999,57.57000000000001,1.546,16.63,29.330000000000002,71.49999999999999,50.27,14.780000000000001,50.6,54.44,94.47,48.410000000000004,CLE
Dallas Mavericks,80.4,42.0,38.4,3894.2,106.5,105.96,0.5399999999999999,59.480000000000004,1.7129999999999999,17.4,25.830000000000002,71.36,48.67999999999999,13.829999999999998,51.06,54.85999999999999,94.94600000000001,50.74999999999999,DAL
Denver Nuggets,80.4,43.7,36.7,3885.2,108.97,107.5,1.4600000000000002,59.879999999999995,1.614,17.4,30.869999999999997,71.51,51.17,15.020000000000001,51.24000000000001,55.21,97.014,50.76,DEN
Detroit Pistons,80.4,33.3,47.1,3887.7,104.93000000000002,107.46000000000001,-2.54,55.54,1.5259999999999998,16.05,31.310000000000002,71.80000000000001,50.71,14.64,48.92,52.379999999999995,93.63899999999998,47.08,DET
Golden State Warriors,80.4,50.5,29.9,3880.7,109.59,105.46,4.11,62.88000000000001,1.7530000000000001,18.8,26.910000000000004,69.83,49.14000000000001,14.870000000000001,53.52,56.95000000000001,98.613,52.589999999999996,GSW
Houston Rockets,80.4,48.8,31.6,3889.2,109.62,106.33,3.29,58.45,1.5020000000000002,16.740000000000002,29.5,70.36,49.91,15.37,52.11,56.06,96.977,50.89,HOU
Indiana Pacers,80.3,43.7,36.6,3877.9,105.21,103.72999999999999,1.48,56.529999999999994,1.4839999999999998,16.349999999999998,28.689999999999998,71.09,50.120000000000005,15.070000000000002,49.720000000000006,53.86,95.18300000000002,51.35,IND
Los Angeles Clippers,80.4,46.4,34.0,3877.2,108.71,106.31999999999998,2.3900000000000006,59.519999999999996,1.643,17.419999999999998,28.860000000000003,70.54,50.0,14.74,51.910000000000004,55.55,95.644,51.629999999999995,LAC
Los Angeles Lakers,80.4,36.3,44.1,3884.7,105.35999999999999,107.22999999999999,-1.8799999999999997,57.65,1.5260000000000002,16.58,29.04,71.0,50.08,14.91,49.84,53.67999999999999,96.73700000000001,48.730000000000004,LAL
Memphis Grizzlies,80.4,42.8,37.6,3891.2,105.21,105.02000000000001,0.18000000000000008,56.289999999999985,1.514,16.330000000000002,30.97,70.89,50.59,14.9,48.910000000000004,53.04999999999999,93.10799999999998,50.31,MEM
Miami Heat,80.4,48.0,32.4,3889.2,107.22999999999999,104.28,2.96,56.339999999999996,1.498,16.73,27.880000000000003,70.78999999999999,49.89,15.14,51.85999999999999,55.56,93.314,52.57000000000001,MIA
Milwaukee Bucks,80.4,38.5,41.9,3890.7,105.00999999999999,105.38000000000002,-0.39999999999999997,59.75,1.5929999999999997,17.270000000000003,28.54,70.14000000000001,49.28,14.989999999999998,49.910000000000004,53.71,95.192,49.760000000000005,MIL
Minnesota Timberwolves,80.4,28.8,51.6,3884.2,105.67,108.8,-3.1100000000000003,58.02,1.5310000000000001,16.549999999999997,30.639999999999997,70.35999999999999,50.13,15.12,49.080000000000005,53.580000000000005,96.608,48.379999999999995,MIN
New Orleans Pelicans,80.4,35.5,44.9,3888.2,105.83,107.60999999999999,-1.8,58.75,1.6260000000000001,17.270000000000003,28.320000000000004,71.55000000000001,49.93000000000001,14.660000000000002,50.32000000000001,54.10999999999999,94.863,49.16,NOP
New York Knicks,80.4,32.4,48.0,3886.2,105.67999999999999,108.2,-2.52,55.7,1.5060000000000002,16.130000000000003,28.589999999999996,70.33000000000001,49.190000000000005,14.62,49.83,53.74000000000001,94.794,48.32999999999999,NYK
Oklahoma City Thunder,80.4,51.5,28.9,3891.7,109.22999999999999,104.50999999999999,4.74,54.010000000000005,1.4189999999999998,15.87,31.21,71.57000000000001,51.75,15.38,51.02,55.49000000000001,96.60400000000001,52.8,OKC
