,date,home,vs,quarter,time_left,game_time,shot_made,cum_shot_made,cum_attempts,cum_fg_percent,shot_value,shot_distance
0,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:11:25,0.5833333333333339,False,0.0,1,0.0,3,27
1,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:09:31,2.4833333333333325,True,1.0,2,0.5,2,19
2,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:06:02,5.966666666666667,False,1.0,3,0.3333333333333333,2,14
3,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:09:49,14.183333333333334,False,1.0,4,0.25,2,19
4,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:02:19,21.683333333333334,False,1.0,5,0.2,2,16
5,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:00:34,23.433333333333334,False,1.0,6,0.16666666666666666,2,4
6,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:10:26,37.56666666666666,True,2.0,7,0.2857142857142857,2,16
7,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:06:31,41.483333333333334,True,3.0,8,0.375,2,17
8,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:02:25,45.583333333333336,True,4.0,9,0.4444444444444444,2,20
9,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:01:47,46.21666666666667,True,5.0,10,0.5,2,18
10,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:00:29,47.516666666666666,True,6.0,11,0.5454545454545454,2,1
11,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:00:29,47.516666666666666,True,7.0,12,0.5833333333333334,2,2
27,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:10:45,1.25,False,0.0,1,0.0,2,18
28,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:04:44,7.266666666666667,False,0.0,2,0.0,2,19
29,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:04:15,7.749999999999999,False,0.0,3,0.0,2,16
30,2009-11-06 00:00:00,True,LAC,3,1900-01-01 00:10:21,25.65,True,1.0,4,0.25,2,2
31,2009-11-06 00:00:00,True,LAC,3,1900-01-01 00:07:12,28.8,False,1.0,5,0.2,3,29
84,2009-11-20 00:00:00,True,POR,1,1900-01-01 00:08:35,3.416666666666666,False,0.0,1,0.0,3,27
85,2009-11-20 00:00:00,True,POR,1,1900-01-01 00:05:29,6.516666666666667,True,1.0,2,0.5,3,27
86,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:09:31,14.483333333333333,False,1.0,3,0.3333333333333333,2,16
87,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:04:30,19.5,False,1.0,4,0.25,2,18
88,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:01:29,22.516666666666666,True,2.0,5,0.4,3,27
89,2009-11-20 00:00:00,True,POR,3,1900-01-01 00:10:11,25.816666666666666,False,2.0,6,0.3333333333333333,2,19
90,2009-11-20 00:00:00,True,POR,3,1900-01-01 00:07:34,28.433333333333334,True,3.0,7,0.42857142857142855,2,19
