"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2014-03-02","GSW","TOR","43:12",4,3,0,0,1,0.04,2,0.16666666666666666,0.08108108108108109,1,0,0,1,0.03225806451612903,0,0,0.022222222222222223,0.125,0,0,0.09090909090909091,1,0,0,0.07692307692307693,0,0
"2014-02-28","GSW","NYK","30:18",11,9,0,0,6,0.18181818181818182,3,0.375,0.21951219512195122,2,0,0,1,0.058823529411764705,1,0.07692307692307693,0.06666666666666667,0.2,0,0.23076923076923078,0.375,0,0,0.2,0,0,0.3333333333333333
"2014-02-26","GSW","CHI","28:19",3,3,0,0,3,0.12,0,0,0.0967741935483871,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.15384615384615385,0,0,0,0,0,0,0
"2014-02-24","GSW","DET","35:44",8,5,0,0,5,0.14705882352941177,0,0,0.1282051282051282,3,0,0,1,0.05555555555555555,2,0.15384615384615385,0.0967741935483871,0.23076923076923078,0,0.2,0,0,0,0.25,0,0.125,0.2
"2014-02-22","GSW","BKN","31:58",5,5,0,0,3,0.15789473684210525,2,0.16666666666666666,0.16129032258064516,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.3333333333333333,0.18181818181818182,0,0,0,0,0,0
"2014-02-20","GSW","HOU","38:27",2,2,0,0,1,0.038461538461538464,1,0.07692307692307693,0.05128205128205128,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.125,0,0,0,0,0,0
"2014-02-19","GSW","SAC","35:51",1,1,0,0,0,0,1,0.1111111111111111,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0
"2014-02-12","GSW","MIA","39:13",5,4,1,0.3333333333333333,3,0.15789473684210525,0,0,0.0967741935483871,1,0,0,1,0.03333333333333333,0,0,0.030303030303030304,0,0.125,0.4,0,0,0,0,0.14285714285714285,0,0
"2014-02-10","GSW","PHI","27:18",5,3,0,0,2,0.07692307692307693,1,0.14285714285714285,0.09090909090909091,2,0,0,1,0.07692307692307693,1,0.09090909090909091,0.08333333333333333,0,0.15384615384615385,0,0.14285714285714285,0,0.3333333333333333,0,0,0,0.3333333333333333
"2014-02-08","GSW","PHX","41:10",2,1,0,0,1,0.045454545454545456,0,0,0.03333333333333333,1,0,0,0,0,1,0.0625,0.025,0,0.1111111111111111,0,0,0,0,0,0,0.07692307692307693,0
"2014-02-06","GSW","CHI","42:46",3,3,0,0,2,0.06896551724137931,1,0.1111111111111111,0.07894736842105263,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.07142857142857142,0.125,0,0,0,0,0,0
"2014-02-04","GSW","CHA","38:13",3,2,0,0,1,0.037037037037037035,1,0.25,0.06451612903225806,1,0,0,1,0.02857142857142857,0,0,0.02040816326530612,0,0.09090909090909091,0,0.25,0,0,0,0.1,0,0
"2014-01-31","GSW","UTA","38:07",2,2,1,1,0,0,1,0.16666666666666666,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"2014-01-30","GSW","LAC","33:41",4,4,0,0,4,0.17391304347826086,0,0,0.11764705882352941,0,0,0,0,0,0,0,0,0.2,0.125,0.2,0,0,0,0,0,0,0
"2014-01-28","GSW","WAS","37:43",2,2,0,0,1,0.027777777777777776,1,0.1111111111111111,0.044444444444444446,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.16666666666666666,0,0,0,0,0,0
"2014-01-26","GSW","POR","34:39",7,6,0,0,3,0.10344827586206896,3,0.3,0.15384615384615385,1,0,0,1,0.04,0,0,0.02702702702702703,0.16666666666666666,0.06666666666666667,0.125,0.2857142857142857,0.3333333333333333,0,0.08333333333333333,0,0,0
"2014-01-24","GSW","MIN","36:53",3,2,0,0,2,0.07407407407407407,0,0,0.05714285714285714,1,0,0,1,0.058823529411764705,0,0,0.037037037037037035,0.18181818181818182,0,0,0,0,0.16666666666666666,0,0,0,0
"2014-01-20","GSW","IND","41:28",3,3,0,0,2,0.05555555555555555,1,0.16666666666666666,0.07142857142857142,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0.2,0,0,0,0,0,0
"2014-01-18","GSW","NOP","37:49",6,5,0,0,4,0.11428571428571428,1,0.14285714285714285,0.11904761904761904,1,0,0,1,0.041666666666666664,0,0,0.027777777777777776,0.1111111111111111,0.125,0.1,0.16666666666666666,0,0,0.14285714285714285,0,0,0
"2014-01-17","GSW","OKC","37:57",3,1,0,0,1,0.058823529411764705,0,0,0.038461538461538464,2,0,0,1,0.043478260869565216,1,0.09090909090909091,0.058823529411764705,0,0.1,0,0,0,0.125,0,0,0.125,0
"2014-01-15","GSW","DEN","39:41",5,5,0,0,5,0.20833333333333334,0,0,0.14705882352941177,0,0,0,0,0,0,0,0,0.2857142857142857,0.125,0.2222222222222222,0,0,0,0,0,0,0
