date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,x,y,shot_description,game_score
2018-10-16,True,OKC,1,11:31,True,3,24,466,143,Made 3-pointer from 24 ft,GSW now leads 3-0
2018-10-16,True,OKC,1,07:57,True,2,6,237,116,Made 2-pointer from 6 ft,GSW now leads 14-8
2018-10-16,True,OKC,1,03:46,True,2,3,245,83,Made 2-pointer from 3 ft,GSW now leads 24-18
2018-10-16,True,OKC,1,02:58,False,2,2,234,72,Missed 2-pointer from 2 ft,GSW leads 26-19
2018-10-16,True,OKC,1,02:49,True,3,23,12,62,Made 3-pointer from 23 ft,GSW now leads 29-19
2018-10-16,True,OKC,2,06:39,False,2,10,336,78,Missed 2-pointer from 10 ft,GSW leads 41-36
2018-10-16,True,OKC,2,06:05,True,3,28,35,248,Made 3-pointer from 28 ft,GSW now leads 46-37
2018-10-16,True,OKC,2,01:03,True,2,3,246,78,Made 2-pointer from 3 ft,GSW now leads 57-47
2018-10-16,True,OKC,2,00:44,False,2,12,353,105,Missed 2-pointer from 12 ft,GSW leads 57-47
2018-10-16,True,OKC,3,09:47,True,3,28,266,333,Made 3-pointer from 28 ft,GSW now leads 62-56
2018-10-16,True,OKC,3,05:20,True,3,28,245,334,Made 3-pointer from 28 ft,GSW now leads 75-71
2018-10-16,True,OKC,3,05:03,False,3,27,219,319,Missed 3-pointer from 27 ft,GSW leads 75-71
2018-10-16,True,OKC,3,04:50,False,3,26,385,273,Missed 3-pointer from 26 ft,GSW leads 75-71
2018-10-16,True,OKC,3,03:01,False,3,26,258,309,Missed 3-pointer from 26 ft,GSW tied 75-75
2018-10-16,True,OKC,3,01:28,False,3,26,440,225,Missed 3-pointer from 26 ft,GSW leads 79-75
2018-10-16,True,OKC,3,01:11,True,2,2,248,66,Made 2-pointer from 2 ft,GSW now leads 81-75
2018-10-16,True,OKC,3,00:40,False,2,5,248,103,Missed 2-pointer from 5 ft,GSW leads 81-76
2018-10-16,True,OKC,4,06:51,False,2,11,128,53,Missed 2-pointer from 11 ft,GSW leads 93-89
2018-10-16,True,OKC,4,06:24,True,2,2,246,77,Made 2-pointer from 2 ft,GSW now leads 95-89
2018-10-16,True,OKC,4,01:46,True,2,17,278,223,Made 2-pointer from 17 ft,GSW now leads 101-97
2018-10-19,False,UTA,1,09:27,True,2,16,157,194,Made 2-pointer from 16 ft,GSW now leads 6-5
2018-10-19,False,UTA,1,05:24,False,3,25,451,185,Missed 3-pointer from 25 ft,GSW leads 16-13
2018-10-19,False,UTA,1,03:39,True,2,16,80,53,Made 2-pointer from 16 ft,GSW now leads 21-19
2018-10-19,False,UTA,1,03:08,False,2,7,297,99,Missed 2-pointer from 7 ft,GSW tied 21-21
2018-10-19,False,UTA,2,07:32,False,2,4,263,79,Missed 2-pointer from 4 ft,GSW tied 41-41
2018-10-19,False,UTA,2,07:12,True,2,19,343,218,Made 2-pointer from 19 ft,GSW now leads 45-43
2018-10-19,False,UTA,2,04:18,True,3,25,411,233,Made 3-pointer from 25 ft,GSW now trails 59-60
2018-10-19,False,UTA,2,03:12,False,3,24,12,118,Missed 3-pointer from 24 ft,GSW trails 61-63
2018-10-19,False,UTA,3,10:24,True,2,2,227,66,Made 2-pointer from 2 ft,GSW now trails 75-86
2018-10-19,False,UTA,3,09:17,True,3,25,103,266,Made 3-pointer from 25 ft,GSW now trails 80-88
2018-10-19,False,UTA,3,08:19,False,2,14,191,184,Missed 2-pointer from 14 ft,GSW trails 80-91
2018-10-19,False,UTA,3,07:43,False,3,25,402,238,Missed 3-pointer from 25 ft,GSW trails 80-91
2018-10-19,False,UTA,3,06:12,False,2,14,217,187,Missed 2-pointer from 14 ft,GSW trails 82-92
2018-10-19,False,UTA,3,05:19,True,2,4,268,78,Made 2-pointer from 4 ft,GSW now trails 84-98
2018-10-19,False,UTA,3,03:18,True,2,1,244,61,Made 2-pointer from 1 ft,GSW now trails 88-98
2018-10-19,False,UTA,3,02:12,True,2,16,87,79,Made 2-pointer from 16 ft,GSW now trails 92-98
2018-10-19,False,UTA,3,01:15,True,2,10,338,69,Made 2-pointer from 10 ft,GSW now trails 94-100
2018-10-19,False,UTA,3,00:40,True,3,25,14,157,Made 3-pointer from 25 ft,GSW now trails 97-100
2018-10-19,False,UTA,3,00:05,False,2,24,194,285,Missed 2-pointer from 24 ft,GSW trails 97-100
