,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Advanced,,,,,Per Game,,,
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
,Total,81,81,2448,659,1517,234,635,160,205,53,315,563,100,20,253,141,1712,0.434,0.369,0.78,0.533,32,107,111,0.4,30.2,21.1,3.9,7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Place,Home,41,41,1240,336,782,115,320,71,90,28,168,289,51,13,130,74,858,0.43,0.359,0.789,0.522,32.4,105,110,4.4,30.3,20.9,4.1,7
,Road,40,40,1208,323,735,119,315,89,115,25,147,274,49,7,123,67,854,0.439,0.378,0.774,0.544,31.7,108,112,-3.7,30.2,21.4,3.7,6.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
All-Star,Pre,58,58,1746,454,1041,159,427,108,131,33,219,385,65,16,172,99,1175,0.436,0.372,0.824,0.535,30.8,107,112,0.1,30.1,20.3,3.8,6.6
,Post,23,23,702,205,476,75,208,52,74,20,96,178,35,4,81,42,537,0.431,0.361,0.703,0.528,35,106,109,1.3,30.5,23.3,4.2,7.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Result,Win,42,42,1284,358,786,131,343,84,106,25,164,314,60,12,124,90,931,0.455,0.382,0.792,0.559,31.5,113,106,12.4,30.6,22.2,3.9,7.5
,Loss,39,39,1164,301,731,103,292,76,99,28,151,249,40,8,129,51,781,0.412,0.353,0.768,0.504,32.6,100,117,-12.7,29.8,20,3.9,6.4
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Month,October,8,8,226,43,106,21,50,14,17,4,30,44,6,4,24,14,121,0.406,0.42,0.824,0.533,26.1,102,115,-4.1,28.3,15.1,3.8,5.5
,November,15,15,443,115,282,36,107,26,36,7,60,87,24,4,37,25,292,0.408,0.336,0.722,0.49,32,103,110,-4.5,29.5,19.5,4,5.8
,December,14,14,413,102,232,31,91,15,17,7,49,95,12,3,47,24,250,0.44,0.341,0.882,0.522,30.3,102,112,0.7,29.5,17.9,3.5,6.8
,January,15,15,459,138,288,52,126,29,34,11,58,109,19,4,41,27,357,0.479,0.413,0.853,0.589,31,118,108,8.5,30.6,23.8,3.9,7.3
,February,10,10,333,92,215,33,93,43,49,7,37,80,8,3,36,17,260,0.428,0.355,0.878,0.55,34.6,109,114,-8.6,33.3,26,3.7,8
,March,14,14,424,125,299,41,127,20,38,10,49,118,26,1,52,25,311,0.418,0.323,0.526,0.493,36.3,100,108,1.9,30.3,22.2,3.5,8.4
,April,5,5,150,44,95,20,41,13,14,7,32,30,5,1,16,9,121,0.463,0.488,0.929,0.598,31.3,117,111,11.6,30,24.2,6.4,6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Day,Sunday,8,8,244,84,159,28,64,18,20,6,43,56,7,3,22,17,214,0.528,0.438,0.9,0.638,32.6,125,113,19.1,30.6,26.8,5.4,7
,Monday,14,14,430,126,288,53,134,24,37,17,64,94,18,4,48,19,329,0.438,0.396,0.649,0.541,34,108,108,0.6,30.7,23.5,4.6,6.7
,Tuesday,5,5,167,51,113,15,46,14,18,3,27,41,13,2,12,9,131,0.451,0.326,0.778,0.542,33.1,113,98,9.1,33.4,26.2,5.4,8.2
,Wednesday,21,21,619,151,372,54,156,35,43,9,80,136,26,3,63,44,391,0.406,0.346,0.814,0.5,30.8,101,111,-2,29.5,18.6,3.8,6.5
,Thursday,3,3,89,20,61,5,21,7,12,3,13,25,2,1,12,4,52,0.328,0.238,0.583,0.392,36.1,83,115,-20.1,29.8,17.3,4.3,8.3
,Friday,18,18,545,139,311,45,128,43,51,9,57,120,19,3,68,32,366,0.447,0.352,0.843,0.549,31.7,105,113,0.2,30.3,20.3,3.2,6.7
,Saturday,12,12,353,88,213,34,86,19,24,6,31,91,15,4,28,16,229,0.413,0.395,0.792,0.512,30.4,108,115,-6.7,29.4,19.1,2.6,7.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Role,Starter,81,81,2448,659,1517,234,635,160,205,53,315,563,100,20,253,141,1712,0.434,0.369,0.78,0.533,32,107,111,0.4,30.2,21.1,3.9,7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,MP,PTS,TRB,AST
Minutes,40+,3,3,130,39,91,13,43,10,16,3,17,24,4,1,21,8,101,0.429,0.302,0.625,0.515,40.1,97,118,-1.1,43.5,33.7,5.7,8
