,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
32,2009-11-08 00:00:00,False,SAC,2,1900-01-01 00:01:18,True,3,25,1.0,22.7
33,2009-11-08 00:00:00,False,SAC,2,1900-01-01 00:00:44,False,2,15,1.0,23.266666666666666
34,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:01:40,False,3,25,1.0,34.333333333333336
35,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:00:47,False,2,13,1.0,35.21666666666667
36,2009-11-08 00:00:00,False,SAC,3,1900-01-01 00:00:12,True,2,18,2.0,35.8
37,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:05:38,False,2,7,2.0,42.36666666666667
38,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:01:48,True,2,19,3.0,46.2
39,2009-11-08 00:00:00,False,SAC,4,1900-01-01 00:01:20,True,2,18,4.0,46.666666666666664
40,2009-11-09 00:00:00,True,MIN,1,1900-01-01 00:09:34,False,2,16,0.0,2.4333333333333336
41,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:05:11,False,3,27,0.0,18.816666666666666
42,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:01:42,True,2,16,1.0,22.3
43,2009-11-09 00:00:00,True,MIN,2,1900-01-01 00:00:35,False,2,1,1.0,23.416666666666668
44,2009-11-09 00:00:00,True,MIN,3,1900-01-01 00:03:09,False,2,3,1.0,32.85
45,2009-11-09 00:00:00,True,MIN,3,1900-01-01 00:03:09,True,3,29,2.0,32.85
46,2009-11-09 00:00:00,True,MIN,4,1900-01-01 00:05:33,False,2,18,2.0,42.45
47,2009-11-09 00:00:00,True,MIN,4,1900-01-01 00:05:33,False,2,17,2.0,42.45
64,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:11:32,True,2,18,1.0,0.4666666666666668
65,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:08:34,False,3,25,1.0,3.4333333333333336
66,2009-11-17 00:00:00,False,CLE,1,1900-01-01 00:06:10,True,2,1,2.0,5.833333333333333
67,2009-11-17 00:00:00,False,CLE,2,1900-01-01 00:00:37,True,2,1,3.0,23.383333333333333
68,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:06:06,False,3,24,3.0,29.9
69,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:02:10,True,2,1,4.0,33.833333333333336
70,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:01:19,True,3,24,5.0,34.68333333333333
71,2009-11-17 00:00:00,False,CLE,3,1900-01-01 00:00:00,False,3,35,5.0,36.0
72,2009-11-17 00:00:00,False,CLE,4,1900-01-01 00:11:08,True,3,25,6.0,36.86666666666667
73,2009-11-17 00:00:00,False,CLE,4,1900-01-01 00:09:26,False,3,25,6.0,38.56666666666666
121,2009-11-28 00:00:00,True,LAL,1,1900-01-01 00:09:37,True,2,18,1.0,2.383333333333333
122,2009-11-28 00:00:00,True,LAL,1,1900-01-01 00:04:02,False,2,15,1.0,7.966666666666666
123,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:07:45,False,3,26,1.0,16.25
124,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:06:49,True,3,27,2.0,17.183333333333334
125,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:06:26,True,2,6,3.0,17.566666666666666
126,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:05:23,False,3,23,3.0,18.616666666666667
127,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:04:53,True,2,16,4.0,19.116666666666667
128,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:04:32,False,2,18,4.0,19.46666666666667
129,2009-11-28 00:00:00,True,LAL,2,1900-01-01 00:04:32,False,2,12,4.0,19.46666666666667
130,2009-11-28 00:00:00,True,LAL,3,1900-01-01 00:06:24,False,3,23,4.0,29.6
131,2009-11-28 00:00:00,True,LAL,3,1900-01-01 00:03:37,False,3,27,4.0,32.38333333333333
132,2009-11-28 00:00:00,True,LAL,4,1900-01-01 00:06:38,False,2,19,4.0,41.36666666666667
133,2009-11-28 00:00:00,True,LAL,4,1900-01-01 00:05:26,False,2,5,4.0,42.56666666666666
134,2009-11-28 00:00:00,True,LAL,4,1900-01-01 00:03:53,False,2,5,4.0,44.11666666666667
135,2009-11-28 00:00:00,True,LAL,4,1900-01-01 00:01:13,True,2,17,5.0,46.78333333333333
141,2009-12-01 00:00:00,False,DEN,1,1900-01-01 00:10:53,False,3,25,0.0,1.1166666666666671
142,2009-12-01 00:00:00,False,DEN,1,1900-01-01 00:09:04,False,2,18,0.0,2.9333333333333336
143,2009-12-01 00:00:00,False,DEN,1,1900-01-01 00:08:34,True,2,21,1.0,3.4333333333333336
144,2009-12-01 00:00:00,False,DEN,2,1900-01-01 00:10:21,False,3,25,1.0,13.65
145,2009-12-01 00:00:00,False,DEN,2,1900-01-01 00:00:16,True,3,25,2.0,23.733333333333334
146,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:11:13,True,2,0,3.0,24.78333333333333
147,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:08:07,True,3,24,4.0,27.883333333333333
148,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:07:46,False,2,21,4.0,28.233333333333334
149,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:05:48,False,2,11,4.0,30.2
150,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:03:06,False,3,26,4.0,32.9
151,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:00:39,False,2,0,4.0,35.35
152,2009-12-01 00:00:00,False,DEN,3,1900-01-01 00:00:39,False,2,0,4.0,35.35
153,2009-12-01 00:00:00,False,DEN,4,1900-01-01 00:05:08,False,3,25,4.0,42.86666666666667
154,2009-12-01 00:00:00,False,DEN,4,1900-01-01 00:03:12,False,2,22,4.0,44.8
211,2009-12-12 00:00:00,False,DET,1,1900-01-01 00:10:05,False,2,0,0.0,1.916666666666666
212,2009-12-12 00:00:00,False,DET,1,1900-01-01 00:09:59,False,3,26,0.0,2.0166666666666675
213,2009-12-12 00:00:00,False,DET,1,1900-01-01 00:07:59,True,3,24,1.0,4.016666666666666
214,2009-12-12 00:00:00,False,DET,1,1900-01-01 00:04:47,False,2,16,1.0,7.216666666666667
215,2009-12-12 00:00:00,False,DET,1,1900-01-01 00:01:07,True,2,0,2.0,10.883333333333333
216,2009-12-12 00:00:00,False,DET,2,1900-01-01 00:09:56,True,3,26,3.0,14.066666666666666
217,2009-12-12 00:00:00,False,DET,3,1900-01-01 00:09:03,False,2,20,3.0,26.95
218,2009-12-12 00:00:00,False,DET,4,1900-01-01 00:10:29,False,2,0,3.0,37.516666666666666
219,2009-12-12 00:00:00,False,DET,4,1900-01-01 00:10:03,True,3,24,4.0,37.95
220,2009-12-12 00:00:00,False,DET,4,1900-01-01 00:01:02,True,2,0,5.0,46.96666666666667
304,2009-12-29 00:00:00,False,LAL,1,1900-01-01 00:10:04,True,2,0,1.0,1.9333333333333336
305,2009-12-29 00:00:00,False,LAL,1,1900-01-01 00:08:33,True,2,19,2.0,3.4499999999999993
306,2009-12-29 00:00:00,False,LAL,1,1900-01-01 00:03:45,False,2,16,2.0,8.25
307,2009-12-29 00:00:00,False,LAL,1,1900-01-01 00:02:12,False,3,26,2.0,9.8
308,2009-12-29 00:00:00,False,LAL,1,1900-01-01 00:00:44,True,2,9,3.0,11.266666666666667
309,2009-12-29 00:00:00,False,LAL,2,1900-01-01 00:02:26,True,2,0,4.0,21.566666666666666
310,2009-12-29 00:00:00,False,LAL,2,1900-01-01 00:01:54,False,2,0,4.0,22.1
311,2009-12-29 00:00:00,False,LAL,2,1900-01-01 00:01:10,True,2,20,5.0,22.833333333333332
312,2009-12-29 00:00:00,False,LAL,3,1900-01-01 00:07:09,False,2,23,5.0,28.85
313,2009-12-29 00:00:00,False,LAL,3,1900-01-01 00:06:53,True,2,0,6.0,29.116666666666667
324,2010-01-05 00:00:00,False,DEN,1,1900-01-01 00:09:36,True,3,25,1.0,2.4000000000000004
325,2010-01-05 00:00:00,False,DEN,1,1900-01-01 00:08:05,True,3,25,2.0,3.916666666666666
326,2010-01-05 00:00:00,False,DEN,1,1900-01-01 00:06:19,True,2,15,3.0,5.683333333333334
327,2010-01-05 00:00:00,False,DEN,1,1900-01-01 00:03:43,False,2,22,3.0,8.283333333333333
328,2010-01-05 00:00:00,False,DEN,1,1900-01-01 00:00:32,False,2,0,3.0,11.466666666666667
329,2010-01-05 00:00:00,False,DEN,2,1900-01-01 00:10:38,True,2,18,4.0,13.366666666666667
330,2010-01-05 00:00:00,False,DEN,2,1900-01-01 00:09:04,True,2,18,5.0,14.933333333333334
331,2010-01-05 00:00:00,False,DEN,2,1900-01-01 00:08:19,True,3,23,6.0,15.683333333333332
332,2010-01-05 00:00:00,False,DEN,2,1900-01-01 00:01:08,True,3,24,7.0,22.866666666666667
333,2010-01-05 00:00:00,False,DEN,2,1900-01-01 00:00:37,True,2,22,8.0,23.383333333333333
334,2010-01-05 00:00:00,False,DEN,4,1900-01-01 00:05:09,True,3,25,9.0,42.85
335,2010-01-05 00:00:00,False,DEN,4,1900-01-01 00:02:50,True,3,26,10.0,45.166666666666664
336,2010-01-05 00:00:00,False,DEN,4,1900-01-01 00:01:01,False,2,11,10.0,46.983333333333334
337,2010-01-06 00:00:00,False,MIN,1,1900-01-01 00:11:22,False,2,22,0.0,0.6333333333333329
338,2010-01-06 00:00:00,False,MIN,1,1900-01-01 00:07:36,True,2,20,1.0,4.4
339,2010-01-06 00:00:00,False,MIN,1,1900-01-01 00:04:36,True,2,20,2.0,7.4
340,2010-01-06 00:00:00,False,MIN,2,1900-01-01 00:09:05,False,3,25,2.0,14.916666666666666
341,2010-01-06 00:00:00,False,MIN,2,1900-01-01 00:08:38,True,2,0,3.0,15.366666666666667
342,2010-01-06 00:00:00,False,MIN,2,1900-01-01 00:07:04,True,2,0,4.0,16.933333333333334
343,2010-01-06 00:00:00,False,MIN,2,1900-01-01 00:06:21,True,2,18,5.0,17.65
344,2010-01-06 00:00:00,False,MIN,3,1900-01-01 00:11:07,True,2,8,6.0,24.883333333333333
345,2010-01-06 00:00:00,False,MIN,3,1900-01-01 00:09:38,False,3,25,6.0,26.366666666666667
346,2010-01-06 00:00:00,False,MIN,4,1900-01-01 00:11:37,False,2,20,6.0,36.38333333333333
347,2010-01-06 00:00:00,False,MIN,4,1900-01-01 00:11:13,True,2,14,7.0,36.78333333333333
348,2010-01-08 00:00:00,True,SAC,1,1900-01-01 00:11:49,True,2,14,1.0,0.18333333333333357
349,2010-01-08 00:00:00,True,SAC,1,1900-01-01 00:10:01,False,2,20,1.0,1.9833333333333325
350,2010-01-08 00:00:00,True,SAC,1,1900-01-01 00:09:55,True,2,3,2.0,2.083333333333334
351,2010-01-08 00:00:00,True,SAC,1,1900-01-01 00:06:12,True,2,20,3.0,5.8
352,2010-01-08 00:00:00,True,SAC,1,1900-01-01 00:05:02,False,3,22,3.0,6.966666666666667
353,2010-01-08 00:00:00,True,SAC,2,1900-01-01 00:03:45,False,2,17,3.0,20.25
354,2010-01-08 00:00:00,True,SAC,3,1900-01-01 00:11:03,True,2,18,4.0,24.95
355,2010-01-08 00:00:00,True,SAC,3,1900-01-01 00:09:58,False,2,21,4.0,26.03333333333333
356,2010-01-08 00:00:00,True,SAC,3,1900-01-01 00:06:50,False,2,20,4.0,29.166666666666668
357,2010-01-08 00:00:00,True,SAC,4,1900-01-01 00:05:03,True,3,26,5.0,42.95
358,2010-01-11 00:00:00,True,CLE,1,1900-01-01 00:11:31,False,2,11,0.0,0.4833333333333325
359,2010-01-11 00:00:00,True,CLE,1,1900-01-01 00:09:10,False,2,2,0.0,2.833333333333334
360,2010-01-11 00:00:00,True,CLE,1,1900-01-01 00:08:16,True,2,3,1.0,3.7333333333333325
361,2010-01-11 00:00:00,True,CLE,1,1900-01-01 00:04:32,True,2,3,2.0,7.466666666666667
362,2010-01-11 00:00:00,True,CLE,1,1900-01-01 00:03:30,False,2,19,2.0,8.5
363,2010-01-11 00:00:00,True,CLE,2,1900-01-01 00:09:11,False,2,2,2.0,14.816666666666666
364,2010-01-11 00:00:00,True,CLE,2,1900-01-01 00:00:37,True,2,3,3.0,23.383333333333333
365,2010-01-11 00:00:00,True,CLE,3,1900-01-01 00:11:13,True,2,15,4.0,24.78333333333333
366,2010-01-11 00:00:00,True,CLE,3,1900-01-01 00:06:53,True,2,18,5.0,29.116666666666667
367,2010-01-11 00:00:00,True,CLE,3,1900-01-01 00:03:50,False,2,2,5.0,32.166666666666664
368,2010-01-11 00:00:00,True,CLE,3,1900-01-01 00:02:47,False,2,18,5.0,33.21666666666667
