,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
0,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:11:25,False,3,27,0.0,0.5833333333333339
1,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:09:31,True,2,19,1.0,2.4833333333333325
2,2009-10-28 00:00:00,True,HOU,1,1900-01-01 00:06:02,False,2,14,1.0,5.966666666666667
3,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:09:49,False,2,19,1.0,14.183333333333334
4,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:02:19,False,2,16,1.0,21.683333333333334
5,2009-10-28 00:00:00,True,HOU,2,1900-01-01 00:00:34,False,2,4,1.0,23.433333333333334
6,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:10:26,True,2,16,2.0,37.56666666666666
7,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:06:31,True,2,17,3.0,41.483333333333334
8,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:02:25,True,2,20,4.0,45.583333333333336
9,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:01:47,True,2,18,5.0,46.21666666666667
10,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:00:29,True,2,1,6.0,47.516666666666666
11,2009-10-28 00:00:00,True,HOU,4,1900-01-01 00:00:29,True,2,2,7.0,47.516666666666666
27,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:10:45,False,2,18,0.0,1.25
28,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:04:44,False,2,19,0.0,7.266666666666667
29,2009-11-06 00:00:00,True,LAC,1,1900-01-01 00:04:15,False,2,16,0.0,7.749999999999999
30,2009-11-06 00:00:00,True,LAC,3,1900-01-01 00:10:21,True,2,2,1.0,25.65
31,2009-11-06 00:00:00,True,LAC,3,1900-01-01 00:07:12,False,3,29,1.0,28.8
84,2009-11-20 00:00:00,True,POR,1,1900-01-01 00:08:35,False,3,27,0.0,3.416666666666666
85,2009-11-20 00:00:00,True,POR,1,1900-01-01 00:05:29,True,3,27,1.0,6.516666666666667
86,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:09:31,False,2,16,1.0,14.483333333333333
87,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:04:30,False,2,18,1.0,19.5
88,2009-11-20 00:00:00,True,POR,2,1900-01-01 00:01:29,True,3,27,2.0,22.516666666666666
89,2009-11-20 00:00:00,True,POR,3,1900-01-01 00:10:11,False,2,19,2.0,25.816666666666666
90,2009-11-20 00:00:00,True,POR,3,1900-01-01 00:07:34,True,2,19,3.0,28.433333333333334
91,2009-11-20 00:00:00,True,POR,3,1900-01-01 00:01:37,False,2,16,3.0,34.38333333333333
92,2009-11-20 00:00:00,True,POR,4,1900-01-01 00:06:16,False,2,7,3.0,41.733333333333334
93,2009-11-24 00:00:00,False,DAL,1,1900-01-01 00:10:14,False,3,25,0.0,1.7666666666666675
94,2009-11-24 00:00:00,False,DAL,1,1900-01-01 00:04:43,True,2,12,1.0,7.283333333333333
95,2009-11-24 00:00:00,False,DAL,2,1900-01-01 00:10:02,True,2,0,2.0,13.966666666666667
96,2009-11-24 00:00:00,False,DAL,2,1900-01-01 00:07:16,False,2,17,2.0,16.733333333333334
97,2009-11-24 00:00:00,False,DAL,2,1900-01-01 00:04:28,True,3,25,3.0,19.53333333333333
98,2009-11-24 00:00:00,False,DAL,2,1900-01-01 00:02:29,False,2,19,3.0,21.516666666666666
99,2009-11-24 00:00:00,False,DAL,2,1900-01-01 00:01:59,False,3,23,3.0,22.016666666666666
100,2009-11-24 00:00:00,False,DAL,3,1900-01-01 00:02:06,False,2,18,3.0,33.9
101,2009-11-24 00:00:00,False,DAL,4,1900-01-01 00:04:01,False,2,0,3.0,43.983333333333334
102,2009-11-24 00:00:00,False,DAL,4,1900-01-01 00:03:51,True,2,19,4.0,44.15
103,2009-11-24 00:00:00,False,DAL,4,1900-01-01 00:02:21,True,3,24,5.0,45.65
104,2009-11-24 00:00:00,False,DAL,4,1900-01-01 00:01:08,True,2,9,6.0,46.86666666666667
155,2009-12-03 00:00:00,True,HOU,1,1900-01-01 00:11:12,False,2,16,0.0,0.8000000000000007
156,2009-12-03 00:00:00,True,HOU,1,1900-01-01 00:08:47,True,3,23,1.0,3.216666666666667
157,2009-12-03 00:00:00,True,HOU,1,1900-01-01 00:04:05,False,2,10,1.0,7.916666666666666
158,2009-12-03 00:00:00,True,HOU,1,1900-01-01 00:03:37,False,3,24,1.0,8.383333333333333
159,2009-12-03 00:00:00,True,HOU,3,1900-01-01 00:09:52,True,2,7,2.0,26.133333333333333
160,2009-12-03 00:00:00,True,HOU,3,1900-01-01 00:07:33,False,3,26,2.0,28.45
161,2009-12-03 00:00:00,True,HOU,4,1900-01-01 00:10:02,True,2,5,3.0,37.96666666666667
162,2009-12-03 00:00:00,True,HOU,4,1900-01-01 00:07:17,True,2,17,4.0,40.71666666666667
163,2009-12-05 00:00:00,True,ORL,1,1900-01-01 00:10:46,True,2,20,1.0,1.2333333333333325
164,2009-12-05 00:00:00,True,ORL,1,1900-01-01 00:09:51,True,2,20,2.0,2.1500000000000004
165,2009-12-05 00:00:00,True,ORL,1,1900-01-01 00:08:13,True,2,22,3.0,3.783333333333333
166,2009-12-05 00:00:00,True,ORL,1,1900-01-01 00:04:46,True,2,3,4.0,7.233333333333333
167,2009-12-05 00:00:00,True,ORL,2,1900-01-01 00:10:10,False,2,17,4.0,13.833333333333334
168,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:09:35,False,2,18,4.0,26.416666666666664
169,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:02:27,True,2,12,5.0,33.55
170,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:00:40,False,3,23,5.0,35.333333333333336
171,2009-12-05 00:00:00,True,ORL,3,1900-01-01 00:00:01,False,2,21,5.0,35.983333333333334
172,2009-12-05 00:00:00,True,ORL,4,1900-01-01 00:11:41,True,2,2,6.0,36.31666666666666
